原始微博内容,发布日期,博主输入月份,博主输入日,博主输入星期,上海,深圳,北京,长沙,武汉,广州,苏州,郑州,南京,成都,西安,重庆
#地铁客流排行榜# 1月8日（周日），北京712.67万，广州679.3万，上海661万，深圳369.23万，武汉224.09万，南京189.9万，成都151.46万，西安134.5万。还有长沙52.9万，郑州51.2万，苏州41万。,2017/1/9,1,8,周日,661,369.23,712.67,52.9,224.09,679.3,41,51.2,189.9,151.46,134.5, 
#地铁客流排行榜# 1月7日（周六），北京729.7万，广州710.3万，上海665.5万，深圳383.66万，武汉220.45万，南京197.3万，成都161.47万，西安136.8万。还有郑州51万，长沙49万，苏州37万。,2017/1/8,1,7,周六,665.5,383.66,729.7,49,220.45,710.3,37,51,197.3,161.47,136.8, 
#地铁客流排行榜# 1月6日（周五），北京1179.3万，上海1067.3万，广州781万，深圳445.86万，南京252.6万，重庆240.4万，武汉238.02万，成都210.68万，西安147.7万。还有长沙57.6万，郑州55.6万，苏州44.7万。,2017/1/7,1,6,周五,1067.3,445.86,1179.3,57.6,238.02,781,44.7,55.6,252.6,210.68,147.7,240.4
#地铁客流排行榜# 1月5日（周四），北京1132.6万，上海991万，广州735.8万，深圳418.13万，南京229万，武汉220.11万，成都194.86万，西安147.2万。还有长沙50.8万，郑州52万，苏州39.5万。,2017/1/6,1,5,周四,991,418.13,1132.6,50.8,220.11,735.8,39.5,52,229,194.86,147.2, 
#地铁客流排行榜# 1月4日（周三），北京1141.02万，上海1015.3万，广州722.3万，深圳421.95万，南京236.4万，武汉222.73万，重庆217万，成都193..8万，西安142.1万。还有长沙55.5万，郑州59.5万，苏州41.7万。,2017/1/5,1,4,周三,1015.3,421.95,1141.02,55.5,222.73,722.3,41.7,59.5,236.4,8,142.1,217
#地铁客流排行榜# 1月3日（周二），北京1132.3万，上海1014万，广州729万，深圳421万，南京242.5万，武汉240.77万，成都193..69万，重庆188.5万，西安148.4万。还有长沙56.3万，郑州50.9万，苏州43.6。,2017/1/5,1,3,周二,1014,421,1132.3,56.3,240.77,729, ,50.9,242.5,69,148.4,188.5
发一个两年多前的 #地铁客流排行榜# 2014年8月12日（周二），北京地铁线网客运量为1106.93万人次，上海地铁客运量为860.5万人次，广州地铁客运量为640.4万人次，深圳地铁线网客运量为302.6万人次，南京地铁客运量为149.1万人次。,2017/1/4,8,12,周二,860.5,302.6,1106.93, , ,640.4, , ,149.1, , , 
#地铁客流排行榜# 1月3日（周二），北京1132.3万，上海1014万，广州729万，深圳421万，南京242.5万，武汉240.77万，成都193..69万，西安148.4万。还有长沙56.3万，郑州50.9万。,2017/1/4,1,3,周二,1014,421,1132.3,56.3,240.77,729, ,50.9,242.5,69,148.4, 
#地铁客流排行榜# 1月2日（周一，假），北京723.6万，广州701.3万，上海675.5万，，深圳377.54万，武汉247.32万，南京217.5万，重庆204.8万，成都167.71万，西安144.7万。还有长沙65.6万，郑州53.8万，苏州47.4万。,2017/1/3,1,2,周一，假,675.5,377.54,723.6,65.6,247.32,701.3,47.4,53.8,217.5,167.71,144.7,204.8
#地铁客流排行榜# 1月1日（周日），广州873.8万，上海768.7万，北京696.8万（16号线-4.2），深圳483.3万（1-109.2，2-45.1，3-91.5，4-65.4，5-75.9，7-31.2，9-25.8，11-38.8），武汉284.16万，南京247.3万，重庆226.2万，成都176.11万，西安148.6万。还有杭州94万，长沙86.3万，苏州68.5万，郑州53.2... 展开全文 c  ,2017/1/2,1,1,周日,768.7,483.3,696.8,86.3,284.16,873.8,68.5, ,247.3,176.11,148.6,226.2
#地铁客流排行榜# 12月31日（周六），广州862.6万，上海851.9万，北京794.26万（未含16号线），深圳475.83万（1-111.9，2-48.6，3-86.2，4-62.13，5-73.9，7-32.3，9-26.6，11-34.2），武汉302.41万，南京276.9万，重庆219.4万，成都189.39万，西安165.1万。还有杭州97万，长沙83.5万，苏州63.54万，郑... 展开全文 c  ,2017/1/1,12,31,周六,851.9,475.83,794.26,83.5,302.41,862.6,63.54, ,276.9,189.39,165.1,219.4
#地铁客流排行榜# 12月31日（周六），广州862.6万，上海851.9万，北京794.26万（未含16号线），深圳475.83万（1-111.9，2-48.6，3-86.2，4-62.13，5-73.9，7-32.3，9-26.6，11-34.2），武汉302.41万，南京276.9万，重庆219.4万，成都189.39万，西安165.1万。还有长沙83.5万，苏州63.54万，郑州61万，青... 展开全文 c  ,2017/1/1,12,31,周六,851.9,475.83,794.26,83.5,302.41,862.6,63.54,61,276.9,189.39,165.1,219.4
#地铁客流排行榜# 12月30日（周五），北京1214.69万，上海1113.5万，广州831.8万，深圳471.82万，南京290.6万，武汉282.49万，重庆261.8万，成都225.33万，西安166.9万。还有长沙72万，郑州62.8万，苏州53万。深圳武汉重庆客流创历史新高。,2016/12/31,12,30,周五,1113.5,471.82,1214.69,72,282.49,831.8,53,62.8,290.6,225.33,166.9,261.8
#地铁客流排行榜# 12月29日（周四），北京1161.76万，上海1051.2万，广州750.4万，深圳428.14万，南京248.2万，武汉247万，重庆225.5万，成都194.48万，西安141万。还有长沙57.2万，郑州50.6万，苏州44.9万。期待今天2016年最后一个工作日客流新高的到来。,2016/12/30,12,29,周四,1051.2,428.14,1161.76,57.2,247,750.4,44.9,50.6,248.2,194.48,141,225.5
#地铁客流排行榜# 12月28日（周三），北京1155.84万，上海1043.6万，广州724.3万，深圳428.02万，南京251.4万，武汉242.77万，重庆221.6万，成都192.95万，西安141.8万。还有长沙55.5万，郑州48.9万，苏州44.08万。,2016/12/29,12,28,周三,1043.6,428.02,1155.84,55.5,242.77,724.3,44.08,48.9,251.4,192.95,141.8,221.6
#地铁客流排行榜# 12月27日（周二），北京1160.9万，上海1034.6万，广州709.8万，深圳429.28万，南京242.2万，重庆214.6万，武汉204.91万，成都193.43万，西安140.8万。还有长沙57万，郑州50.2万，苏州43.6万。,2016/12/28,12,27,周二,1034.6,429.28,1160.9,57,204.91,709.8,43.6,50.2,242.2,193.43,140.8,214.6
#地铁客流排行榜# 12月26日（周一），北京1154.45万，上海1005.1万，广州718.9万，深圳433.88万，南京235.3万，武汉199.15万，成都194.85万，西安141.2万。还有长沙53.5，郑州47.7万，苏州41.5万。还有合肥第一天6.8万。,2016/12/27,12,26,周一,1005.1,433.88,1154.45,47.7,199.15,718.9,41.5,47.7,235.3,194.85,141.2, 
#地铁客流排行榜# 12月25日（周日），北京734.57万，广州718.3万，上海695万，深圳416.24万，南京206.6万，武汉194.23万，重庆178.4万，成都165.49万，西安144.5万。还有长沙61.5，郑州53.9万，苏州44.08万。,2016/12/26,12,25,周日,695,416.24,734.57,53.9,194.23,718.3,44.08,53.9,206.6,165.49,144.5,178.4
#地铁客流排行榜# 12月24日（周六），上海859.7万，北京849.7万，广州732.9万，深圳423.11万，南京272.6万，武汉263.1万，成都179.8万，重庆170万，西安154.2万。还有长沙70.4，郑州64.2万，苏州61.5万。武汉地铁客运量创历史新高。,2016/12/25,12,24,周六,859.7,423.11,849.7,64.2,263.1,732.9,61.5,64.2,272.6,179.8,154.2,170
#地铁客流排行榜# 12月24日（周六），上海859.7万，北京849.7万，广州732.9万，深圳423.11万，南京272.6万，武汉263.1万，成都179.8万，重庆170万，西安154.2万。还有长沙70.4，郑州64.2万，苏州61.5万。,2016/12/25,12,24,周六,859.7,423.11,849.7,64.2,263.1,732.9,61.5,64.2,272.6,179.8,154.2,170
#地铁客流排行榜# 12月23日（周五），北京1230.39万，上海1119.5万，广州780万，深圳464.03万，南京280.8万，武汉233.54万，成都212.99万，重庆212.4万，西安160.7万。还有长沙64.8，郑州59.6万，苏州50.6万。,2016/12/24,12,23,周五,1119.5,464.03,1230.39,59.6,233.54,780,50.6,59.6,280.8,212.99,160.7,212.4
#地铁客流排行榜# 12月22日（周四），北京1151.56万，上海1040.8万，广州713.2万，深圳429.56万，南京241.5万，武汉204.6万，重庆191.5万，成都189.2万，西安143.7万。还有长沙56.3，郑州48.4万，苏州42.6万。,2016/12/23,12,22,周四,1040.8,429.56,1151.56,48.4,204.6,713.2,42.6,48.4,241.5,189.2,143.7,191.5
#地铁客流排行榜# 12月21日（周三），北京1120万，上海1024万，广州715.8万，深圳423万，南京222.6万，武汉192.27万，成都190.97万，西安144.2万。还有长沙49万，郑州45.3万，苏州41.3万。,2016/12/22,12,21,周三,1024,423,1120,49,192.27,715.8,41.3,45.3,222.6,190.97,144.2, 
#地铁客流排行榜# 12月20日（周二），北京1142万，上海1028.2万，广州710万，深圳425.78万，南京238.6万，武汉191.32万，成都189.28万，西安136.2万。还有长沙49.9万，郑州46.4万，苏州42.5万。,2016/12/21,12,20,周二,1028.2,425.78,1142,49.9,191.32,710,42.5,46.4,238.6,189.28,136.2, 
#地铁客流排行榜# 12月19日（周一），北京1164.85万，上海1049.4万，广州717万，深圳433.2万，南京243.6万，武汉202.34万，重庆194.2万，成都191.82万，西安148.3万。还有长沙49.3万，郑州48.4万，苏州43.6万。,2016/12/20,12,19,周一,1049.4,433.2,1164.85,49.3,202.34,717,43.6,48.4,243.6,191.82,148.3,194.2
