【晚安metro】每个人的骨子里，都有一份坚强，留给自己；每个人的心中，都有一个角落，留给心灵！,2016-04-13 22:30:00 来自 微博 weibo.com
【出行wheatherman】下班时段仍有小雨，路面湿滑，能见度差，注意交通安全。欢迎搭乘深圳地铁哦！ ,2016-04-13 17:14:00 来自 微博 weibo.com
【服务up up】哈喽~我是地铁列车的“美容师”洗车机。当列车缓慢行驶至洗车库时，列车会触发我身上的开关，列车清洗流程便开始了。洗刷、水、洗涤剂三力合一，列车外表面的灰尘污垢无处遁形。大概只需五分钟的时间，一列地铁列车外表面便清洗完毕，恢复光洁如新，列车再次进入正线运营，肩负起承载客流... 展开全文 c  ,2016-04-13 16:57:00 来自 微博 weibo.com
【开心together】友谊的小船已经翻来覆去了。 ,2016-04-13 14:00:00 来自 微博 weibo.com
【失物招领】 #深圳地铁失物招领#  2号线后海站2016年4月12日拾到证件一份。领取地点：后海 电话：0755-88964241 小编温馨提醒各位乘客，在坐地铁时请携带好随身物品，以免丢失。长按二维码下载深圳地铁APP可获取更多失物招领信息。,2016-04-13 11:45:00 来自 微博 weibo.com
【新线online】 #深圳地铁11号线#  地铁车辆人员于2015年年中陆续进入松岗车辆段，并于今年4月份开始了扩大化的对11号线列车的检修工作。,2016-04-13 11:43:00 来自 微博 weibo.com
【客流review】 #客流回顾#  昨日总客流：273.94万人次 1号线：108.75万人次 2号线：43.43万人次 3号线：61.12万人次 5号线：60.65万人次 最大进站客流站点：大剧院站：8.51万人次车公庙站：7.45万人次罗湖站：6.99万人次,2016-04-13 09:50:00 来自 微博 weibo.com
【出行weatherman】今天出行主要方式：1、地铁；2、游泳！ ,2016-04-13 09:41:00 来自 微博 weibo.com
【早安metro】积德虽无人见，行善自有天知。早安！,2016-04-13 07:30:00 来自 微博 weibo.com
【晚安metro】你给世界一个什么姿态，世界将还你一个什么样的人生。晚安！,2016-04-12 22:30:00 来自 微博 weibo.com
【新线online】 #深圳地铁7号线#  7号线联锁试验顺利完成啦！联锁是指通过一定的技术方法，使信号、道岔和进路按照特定的程序且满足相应条件，才能动作或建立起来的相互关系，一旦联锁错误或失效将会直接危及到行车安全，而深云车辆段采用的是目前国内最新的联锁系统，经过一个多月的努力，工作人员突破... 展开全文 c  ,2016-04-12 17:16:00 来自 微博 weibo.com
【metro圳能量】感谢您对深圳地铁员工的肯定与鼓励，谢谢哦~   ,2016-04-12 16:31:00 来自 微博 weibo.com
【温馨tips】高新园站因地处深圳科技园片区，存在上班人员密集，车站空间狭小等特点，导致早晚上下班客流密集。为此，深圳地铁决定增补高新园站闸机，多次现场勘探，编制完善设备调整方案及现场施工方案。施工整改期间，对乘客出行造成的不便，敬请谅解！深圳地铁将尽快完成高新园站闸机设备增补，届时... 展开全文 c  ,2016-04-12 15:30:00 来自 微博 weibo.com
【新线online】 #深圳地铁7号线#  今年即将开通的7号线，全线列车采用6节编组A型铝合金车，设计时速80公里。列车采用LED车头灯，造型醒目。“小七”采用纯白色和蓝色线条相互搭配，外观设计大气典雅，清新的感觉让人眼前一亮。,2016-04-12 14:59:00 来自 微博 weibo.com
【失物招领】 #深圳地铁失物招领#  1号线车公庙站2016年4月11日拾到保险文件合同一份。领取地点：车公庙 电话：0755-88961630 小编温馨提醒各位乘客，在坐地铁时请携带好随身物品，以免丢失。长按二维码下载深圳地铁APP可获取更多失物招领信息。,2016-04-12 11:31:00 来自 微博 weibo.com
【国际connection】2015年9月20日，亚的斯亚贝巴轻轨南北线正式开通商业运营。同年11月10日东西线开通运营，标志着亚的斯亚贝巴城进入网络化运营时代。截至2016年4月6日，埃塞轻轨实现安全运营200天，共运送旅客2033万人次，运营票款收入6100万比尔，开行列车43165列次，总计运营里程108.7628万公里,2016-04-12 10:51:00 来自 微博 weibo.com
【客流review】 #客流回顾# 总客流：278.54万人次 1号线：109.52万人次 2号线：43.46万人次 3号线：62.74万人次 5号线：62.82万人次 最大进站客流站点：大剧院站：8.37万人次车公庙站：7.39万人次罗湖站：7.3万人次,2016-04-12 09:27:00 来自 微博 weibo.com
【早安metro】我们要飞到那遥远地方望一望，这世界还是一片的光亮。早安！,2016-04-12 07:25:00 来自 iPhone 6 Plus
【晚安metro】雨纷纷，旧故里草木深，我听闻，你仍守着孤城，城郊牧笛声，落在那座野村，缘份落地生根是我们。——《烟花易冷》,2016-04-11 22:56:00 来自 iPhone 6 Plus
【失物招领】 #深圳地铁失物招领#  2号线登良站2016年4月9日拾到一个铝合金密码箱，内装工器具。领取地点：世界之窗 电话：0755-88961752 小编温馨提醒各位乘客，在坐地铁时请携带好随身物品，以免丢失。长按二维码下载深圳地铁APP可获取更多失物招领信息。,2016-04-11 15:11:00 来自 微博 weibo.com
【新线online】 #深圳地铁11号线#  11号线为向广大旅客展示深圳文化、历史、风貌及深圳精神，地铁11号线在全线每个车站均采用不同的设计风格和装饰材料，并在宝安站、机场站等8个车站内专门邀请各专业艺术家设计了8种风格不一的文化墙。猜猜以下图片是哪些站？ ,2016-04-11 15:06:00 来自 微博 weibo.com
【metro圳能量】感谢您对深圳地铁员工的肯定与鼓励，谢谢~ ,2016-04-11 10:51:00 来自 微博 weibo.com
【客流review】 #客流回顾# 总客流：197.27万人次 1号线：75.04万人次 2号线：26.69万人次 3号线：49.77万人次 5号线：45.77万人次 最大进站客流站点：罗湖站：8.19万人次深圳北站：7.47万人次老街站：6.99万人次,2016-04-11 09:24:00 来自 微博 weibo.com
【早安metro】借时光之手，暖一束花开。借一方晴空，拥抱阳光。早安！,2016-04-11 07:31:00 来自 iPhone 6 Plus
【晚安metro】唯有心静，身外的繁华才不至于扭曲和浮躁，才能倾听到内心真实的声音。晚安！,2016-04-10 22:25:00 来自 iPhone 6 Plus
【metro圳能量】2016年4月10日，深圳市地铁义工联第三期新义工培训完美落幕！本次培训新加入义工120名左右！他们在雷雨天气来加入到我们的大家庭！感恩他们的参与！让我们的爱一起延续，一起传播！让我们在爱的路上 一起走！有了你们的加入更精彩！ @深圳市地铁义工联合会 ,2016-04-10 19:41:00 来自 iPhone 6 Plus
【出行weatherman】降雨进一步减弱，部分地区出现暂歇。下午还是有雷阵雨，但是应该不会像上午那么强。 @深圳天气 ,2016-04-10 12:10:00 来自 iPhone 6 Plus
【晚安metro】尊重别人是一种修养，更是一种品德。晚安！,2016-04-09 22:30:00 来自 微博 weibo.com
【温馨tips】昨夜（4月8日），地铁3号线（龙岗线）因大型检修作业，需要满足连续6小时施工时间要求，为保障施工及运营安全，当晚地铁3号线塘坑－双龙区段提前结束运营服务，并采用了公交接驳的方式以保障乘客出行需求。下一次大型检修预计在4月22日（如遭遇恶劣天气则另行安排），请乘客提前做好出行安... 展开全文 c  ,2016-04-09 10:10:00 来自 iPhone 6 Plus
【早安metro】我要一步一步往上爬，在最高点乘着叶片往前飞，小小的天流过的泪和汗，总有一天我有属于我的天。早安！,2016-04-09 07:30:00 来自 微博 weibo.com
【晚安metro】没有伞的孩子，必须努力奔跑！晚安！,2016-04-08 22:30:00 来自 微博 weibo.com
【新线online】 #深圳地铁11号线#  地铁 11 号线列车采用国内首创的超大 8 节编组 A 型车，整列车最大的载客量达 2564 人。最高运行速度为120km/h，设计结构速度135km/h，旅行速度（指列车在区段内平均每小时走行的公里数，其中包括列车在区段内各区间的运行时间和中间站的停站时间。）大于55km/h。为达... 展开全文 c  ,2016-04-08 20:30:00 来自 iPhone 6 Plus
【metro圳能量】深圳地铁迎来了56位来自埃塞的轻轨项目专家及公司员工组成的轨道交通运营培训班成员。深圳地铁走出国门的瞩目成就，让非洲的“洋专家”和“洋学员”不远万里到深圳来“取经”。他们主要来自埃塞轻轨项目不同的专业和部门。当中有的是从事铁路技术研发的专家学者，还有的正是由深圳地铁... 展开全文 c  ,2016-04-08 15:05:00 来自 微博 weibo.com
【温馨tips】就是今晚哦！乘坐龙岗线的小伙伴们请注意啦！   ,2016-04-08 14:08:00 来自 iPhone 6 Plus
【客流review】 #客流回顾# 总客流：276.45万人次 1号线：107.11万人次 2号线：43.81万人次 3号线：62.97万人次 5号线：62.55万人次 最大进站客流站点：大剧院站：8.25万人次车公庙站：7.46万人次罗湖站：7.07万人次,2016-04-08 12:30:00 来自 微博 weibo.com
【早安metro】如果你的面前有阴影，那是因为你的背后有阳光。早安！,2016-04-08 07:30:00 来自 微博 weibo.com
【晚安metro】生活总是让我们遍体鳞伤，但到后来，那些受伤的地方一定会变成我们最强壮的地方。——海明威,2016-04-07 22:30:00 来自 微博 weibo.com
【温馨tips】依据《深圳市城市轨道交通运营管理办法》第三十三条、第三十八条在城市轨道交通设施范围内禁止下列行为：,2016-04-07 19:35:00 来自 微博 weibo.com
【温馨tips】 #不要让小物件卡住地铁车门# 地铁列车只要有一扇车门因故障关不上，就会对行车造成影响！或许1个玩偶、1个耳机包或高跟鞋跟等小物件，卡住地铁车门造成故障了，都会影响行车哦！乘客上下车一定要看好随身物品谨防掉落。如果发现物品卡住在车门中，第一时间向站务员或司机求助，切勿擅自破坏... 展开全文 c  ,2016-04-07 15:30:00 来自 微博 weibo.com
【温馨tips】深圳毗邻香港，从深圳各口岸出入境的客流量非常大，小编披星戴月的给大家总结了坐地铁公交如何前往各大口岸的宝典！请戳下图看吧！ #深圳-香港#     ,2016-04-07 14:20:00 来自 微博 weibo.com
【新线online】 #深圳地铁11号线# 机场站抢先看！快看那独具特色的“蜂巢顶”，作为与深圳宝安国际机场无缝对接的车站，我们特意将车站的整体设计与宝安国际机场T3航站楼的设计融为一体，演绎地上地下紧密关联的特点。宽敞明亮的站厅，开阔的视野，流线的质感及蜂巢的结构设计让人不禁放慢脚步，享受科技... 展开全文 c  ,2016-04-07 11:30:00 来自 微博 weibo.com
【失物招领】 #深圳地铁失物招领#  3号线益田站2016年4月6日拾获钱包一个（内有身份证、驾驶证）领取地点：益田 电话：0755-28803003 小编温馨提醒各位乘客，在坐地铁时请携带好随身物品，以免丢失。长按二维码下载深圳地铁APP可获取更多失物招领信息。,2016-04-07 10:44:00 来自 微博 weibo.com
【出行weatherman】多云间阴天，局部有短时阵雨；东南风2级；相对湿度65%-90% 。小编温馨提醒：1、沿海地区注意大雾期间能见度低对海上作业、海上活动的影响，做好安全防范。 2、我市已经进入强对流天气多发期，户外活动、户外作业组注意防范突发性短时强降雨、雷暴和短时大风的突袭。,2016-04-07 09:48:00 来自 微博 weibo.com
【客流review】 #客流回顾# 总客流：274.11万人次 1号线：106.16万人次 2号线：43.27万人次 3号线：62.99万人次 5号线：61.68万人次 最大进站客流站点：大剧院站：8.12万人次车公庙站：7.4万人次罗湖站：7.17万人次,2016-04-07 09:39:00 来自 微博 weibo.com
【早安metro】人生充满着期待，梦想连接着未来。早安！,2016-04-07 07:30:00 来自 微博 weibo.com
【晚安metro】我们不必是太阳，但心中要保有一束光明；我们也不必是月亮，但心中要保有一片皎洁。晚安！,2016-04-06 22:30:00 来自 微博 weibo.com
【温馨tips】最近有小伙伴问小编，深圳地铁有没有日票卖呀？当然是有的。在有效时间内随您任意刷，随意乘坐地铁哦。使用日票时如需帮助，可联系车站工作人员。一人一票制！（请戳下图了解详情） ,2016-04-06 17:31:00 来自 微博 weibo.com
【温馨tips】最近许多小伙伴询问小编在地铁上遗失物品怎么办？如果您在地铁范围内遗失物品，请立即向车站工作人员寻求帮助。或是前往失物招领处寻找，1、2、5号线失物招领在世界之窗站，3号线失物招领在塘坑站，车站开始运营服务都可以前往咨询 。您可以拨打深圳地铁失物招领中心（1.2.5号线）联系电话... 展开全文 c  ,2016-04-06 16:02:00 来自 微博 weibo.com
【温馨tips】 #和颐酒店女生遇袭# 女生独自外出一定要有警觉心，以下几个能救命的技能，大家快来看看！,2016-04-06 10:57:00 来自 iPhone 6 Plus
【客流review】 #客流回顾# 总客流：276.81万人次 1号线：108.39万人次 2号线：41.64万人次 3号线：63.92万人次 5号线：62.86万人次 最大进站客流站点：罗湖站：8.39万人次大剧院站：7.98万人次深圳北站：7.91万人次,2016-04-06 09:11:00 来自 微博 weibo.com
【早安metro】做一个这样的人：率性而行，继之而悟，随遇而安。以最自然的姿态和意愿去生活，你会发现内心深处的快乐，将不可一世地蓬勃生长哦！,2016-04-06 07:30:00 来自 微博 weibo.com
【晚安metro】有父母，有家，有爱，无论多么的辛苦和劳累，都是幸福的。晚安！,2016-04-05 23:17:00 来自 iPhone 6 Plus
4月8日、4月22日两天乘坐3号线的乘客请注意哟！   ,2016-04-05 17:14:00 来自 微博 weibo.com
